trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
25784268,2019-11-26 09:12:27,2019-11-26 09:21:58,6405,570.0,50,Clark St & Ida B Wells Dr,174,Canal St & Madison St,Subscriber,Male,1987.0
25787971,2019-11-26 19:35:37,2019-11-26 19:40:18,6646,280.0,55,Halsted St & Roosevelt Rd,136,Racine Ave & 13th St,Subscriber,Male,1996.0
25781623,2019-11-26 05:32:34,2019-11-26 05:42:04,1524,570.0,337,Clark St & Chicago Ave,52,Michigan Ave & Lake St,Subscriber,Female,1985.0
25786036,2019-11-26 13:56:59,2019-11-26 13:58:18,3026,78.0,302,Sheffield Ave & Wrightwood Ave,67,Sheffield Ave & Fullerton Ave,Subscriber,Male,1997.0
25782076,2019-11-26 06:59:32,2019-11-26 07:04:12,689,280.0,659,Leavitt St & Chicago Ave,376,Artesian Ave & Hubbard St,Subscriber,Male,1995.0
25788072,2019-11-26 20:25:14,2019-11-26 20:37:49,1901,754.0,43,Michigan Ave & Washington St,77,Clinton St & Madison St,Subscriber,Male,1991.0
25787402,2019-11-26 17:17:36,2019-11-26 17:20:15,3486,158.0,344,Ravenswood Ave & Lawrence Ave,326,Clark St & Leland Ave,Subscriber,Male,1980.0
25784923,2019-11-26 11:07:38,2019-11-26 13:40:08,6912,"9,149.0",463,Clark St & Berwyn Ave,143,Sedgwick St & Webster Ave,Subscriber,Male,1987.0
25784130,2019-11-26 08:59:27,2019-11-26 09:02:50,5571,203.0,42,Wabash Ave & Cermak Rd,62,McCormick Place,Subscriber,Male,1961.0
25788518,2019-11-27 06:35:34,2019-11-27 07:12:25,6642,"2,210.0",219,Damen Ave & Cortland St,333,Ashland Ave & Blackhawk St,Subscriber,Male,1989.0
25792554,2019-11-27 18:58:46,2019-11-27 19:05:27,889,401.0,216,California Ave & Division St,123,California Ave & Milwaukee Ave,Subscriber,Male,1983.0
25789566,2019-11-27 09:01:07,2019-11-27 09:19:21,2105,"1,093.0",242,Damen Ave & Leland Ave,258,Logan Blvd & Elston Ave,Subscriber,Male,1970.0
25788485,2019-11-27 06:23:28,2019-11-27 06:40:40,4720,"1,031.0",93,Sheffield Ave & Willow St,91,Clinton St & Washington Blvd,Subscriber,Male,1996.0
25792682,2019-11-27 20:03:19,2019-11-27 20:29:58,6872,"1,599.0",181,LaSalle St & Illinois St,26,McClurg Ct & Illinois St,Subscriber,Female,1979.0
25791726,2019-11-27 16:16:27,2019-11-27 16:21:41,6029,314.0,100,Orleans St & Merchandise Mart Plaza,91,Clinton St & Washington Blvd,Subscriber,Male,1959.0
25793774,2019-11-28 12:41:33,2019-11-28 12:49:14,2442,461.0,425,Harper Ave & 59th St,322,Kimbark Ave & 53rd St,Subscriber,Male,1967.0
25793936,2019-11-28 13:48:18,2019-11-28 14:22:10,3003,"2,032.0",318,Southport Ave & Irving Park Rd,293,Broadway & Wilson Ave,Subscriber,Female,1990.0
25794974,2019-11-29 09:16:19,2019-11-29 13:56:54,2739,"16,835.0",6,Dusable Harbor,672,Franklin St & Illinois St,Customer,,
25797436,2019-11-29 19:09:29,2019-11-29 19:14:33,2545,303.0,255,Indiana Ave & Roosevelt Rd,626,Delano Ct & Roosevelt Rd,Subscriber,Male,1973.0
